Date,Open,High,Low,Close,Adj Close,Volume
2020-05-18,152.490005,153.619995,150.460007,150.520004,146.556808,7388400
2020-05-19,150.100006,151.100006,148.399994,149.020004,145.096283,6107300
2020-05-20,149.750000,150.389999,147.270004,147.679993,143.791565,5713400
2020-05-21,148.500000,148.500000,145.820007,146.710007,142.847137,6487300
2020-05-22,144.570007,146.289993,144.059998,144.369995,141.543152,6140900
2020-05-26,146.190002,146.440002,144.300003,144.559998,141.729431,7072300
2020-05-27,144.320007,145.250000,143.009995,144.889999,142.052979,7950000
2020-05-28,146.020004,148.110001,145.809998,146.970001,144.092239,6189600
2020-05-29,147.960007,149.350006,145.330002,148.750000,145.837402,8504000
2020-06-01,147.289993,148.339996,146.009995,147.190002,144.307938,6141800
2020-06-02,147.059998,148.350006,146.119995,148.250000,145.347198,6078300
2020-06-03,148.520004,149.139999,146.449997,148.649994,145.739349,6339500
2020-06-04,146.800003,148.369995,145.580002,146.729996,143.856949,8170500
2020-06-05,147.690002,149.639999,146.600006,147.300003,144.415787,9725400
2020-06-08,145.880005,147.610001,145.740005,146.770004,143.896179,7555600
2020-06-09,148.250000,149.330002,145.649994,145.960007,143.102036,8247200
2020-06-10,146.600006,150.029999,146.600006,147.800003,144.906006,10137100
2020-06-11,148.580002,149.169998,140.750000,140.869995,138.111694,11913300
2020-06-12,142.839996,143.710007,140.279999,142.149994,139.366638,8687400
2020-06-15,141.000000,142.399994,139.389999,141.250000,138.484253,8649600
2020-06-16,144.089996,145.419998,142.770004,144.460007,141.631409,7579100
2020-06-17,144.899994,145.419998,143.470001,144.020004,141.200012,5100100
2020-06-18,142.520004,144.119995,141.869995,143.410004,140.601974,4797400
2020-06-19,145.789993,145.880005,143.250000,143.830002,141.013748,12206900
2020-06-22,143.470001,143.660004,142.029999,143.389999,140.582352,5285600
2020-06-23,143.740005,144.080002,142.679993,142.860001,140.062729,5921600
2020-06-24,141.490005,142.190002,138.720001,139.820007,137.082245,8211200
2020-06-25,140.570007,140.570007,137.539993,139.669998,136.935181,7421200
2020-06-26,139.529999,139.600006,137.020004,137.809998,135.111618,12849700
2020-06-29,138.740005,139.699997,137.979996,139.039993,136.317520,5309800
2020-06-30,139.399994,141.020004,137.839996,140.630005,137.876404,7738300
2020-07-01,140.690002,141.389999,140.059998,140.380005,137.631302,6174800
2020-07-02,141.250000,141.839996,140.330002,140.970001,138.209732,5152200
2020-07-06,142.169998,143.770004,141.880005,142.979996,140.180374,6156400
2020-07-07,141.389999,143.970001,141.229996,142.850006,140.052917,5622600
2020-07-08,142.869995,143.389999,141.699997,143.270004,140.464706,6257400
2020-07-09,142.759995,144.429993,140.580002,142.490005,139.699966,5738600
2020-07-10,142.750000,142.869995,141.429993,142.369995,139.582321,4282400
2020-07-13,143.610001,146.639999,143.279999,145.210007,142.366730,6951900
2020-07-14,145.320007,148.389999,145.259995,147.919998,145.023651,7447100
2020-07-15,149.729996,150.210007,148.229996,148.259995,145.356995,8512800
2020-07-16,148.679993,149.339996,146.679993,149.250000,146.327606,9304700
2020-07-17,150.000000,150.580002,148.690002,149.350006,146.425659,7441100
2020-07-20,150.229996,150.320007,148.429993,149.600006,146.670776,6191500
2020-07-21,149.600006,151.669998,149.500000,149.740005,146.808029,5575900
2020-07-22,149.929993,150.410004,147.850006,150.009995,147.072723,5910200
2020-07-23,150.210007,150.850006,149.279999,149.610001,146.680557,6566300
2020-07-24,150.500000,150.600006,147.029999,148.119995,145.219742,5405900
2020-07-27,147.369995,148.919998,146.860001,147.179993,144.298126,5675200
2020-07-28,147.399994,147.990005,146.750000,146.830002,143.955002,4842200
2020-07-29,146.389999,147.470001,146.070007,146.539993,143.670670,4489100
2020-07-30,147.440002,147.500000,146.139999,146.839996,143.964813,5922500
2020-07-31,146.660004,147.449997,143.960007,145.759995,142.905945,8259600
2020-08-03,146.389999,147.789993,146.149994,147.350006,144.464828,4078700
2020-08-04,146.990005,147.220001,145.820007,147.220001,144.337357,4162200
2020-08-05,149.100006,149.309998,147.800003,148.399994,145.494263,5467500
2020-08-06,148.399994,149.250000,146.500000,147.550003,144.660904,4837900
2020-08-07,147.509995,148.649994,147.149994,148.600006,145.690338,3635100
